gender_group,population
Female,536918
Female,1979977
Female,2516895
Male,559458
Male,1799897
Male,2359355
Both,1096376
Both,3779874
Both,4876250
Female,89435
Female,262718
Female,352153
Male,94959
Male,289956
Male,384915
Both,184394
Both,552674
Both,737068
Female,801163
Female,2744627
Female,3545790
Male,834181
Male,2670328
Male,3504509
Both,1635344
Both,5414955
Both,7050299
Female,344149
Female,1183461
Female,1527610
Male,360119
Male,1111641
Male,1471760
Both,704268
Both,2295102
Both,2999370
Female,4411250
Female,15345949
Female,19757199
Male,4610896
Male,14915402
Male,19526298
Both,9022146
Both,30261351
Both,39283497
Female,615975
Female,2171173
Female,2787148
Male,645030
Male,2178171
Male,2823201
Both,1261005
Both,4349344
Both,5610349
Female,363419
Female,1467410
Female,1830829
Male,380414
Male,1363831
Male,1744245
Both,743833
Both,2831241
Both,3575074
Female,100608
Female,393750
Female,494358
Male,103076
Male,359814
Male,462890
Both,203684
Both,753564
Both,957248
Female,2045838
Female,8634985
Female,10680823
Male,2136624
Male,8084189
Male,10220813
Both,4182462
Both,16719174
Both,20901636
Female,1228574
Female,4113177
Female,5341751
Male,1276666
Male,3785430
Male,5062096
Both,2505240
Both,7898607
Both,10403847
Female,148073
Female,560761
Female,708834
Male,156565
Male,556695
Male,713260
Both,304638
Both,1117456
Both,1422094
Female,215455
Female,641270
Female,856725
Male,225692
Male,635333
Male,861025
Both,441147
Both,1276603
Both,1717750
Female,1415640
Female,5082819
Female,6498459
Male,1475886
Male,4796286
Male,6272172
Both,2891526
Both,9879105
Both,12770631
Female,768243
Female,2612614
Female,3380857
Male,804248
Male,2480598
Male,3284846
Both,1572491
Both,5093212
Both,6665703
Female,356541
Female,1224431
Female,1580972
Male,372196
Male,1186340
Male,1558536
Both,728737
Both,2410771
Both,3139508
Female,347133
Female,1112822
Female,1459955
Male,363937
Male,1086760
Male,1450697
Both,711070
Both,2199582
Both,2910652
Female,491130
Female,1767000
Female,2258130
Male,518176
Male,1672746
Male,2190922
Both,1009306
Both,3439746
Both,4449052
Female,540939
Female,1844437
Female,2385376
Male,562411
Male,1716575
Male,2278986
Both,1103350
Both,3561012
Both,4664362
Female,122670
Female,558880
Female,681550
Male,129828
Male,524114
Male,653942
Both,252498
Both,1082994
Both,1335492
Female,656872
Female,2444363
Female,3101235
Male,684810
Male,2232803
Male,2917613
Both,1341682
Both,4677166
Both,6018848
Female,670893
Female,2855453
Female,3526346
Male,700367
Male,2623840
Male,3324207
Both,1371260
Both,5479293
Both,6850553
Female,1063288
Female,3996737
Female,5060025
Male,1114590
Male,3790650
Male,4905240
Both,2177878
Both,7787387
Both,9965265
Female,632696
Female,2159809
Female,2792505
Male,663152
Male,2107721
Male,2770873
Both,1295848
Both,4267530
Both,5563378
Female,348994
Female,1187551
Female,1536545
Male,364499
Male,1083374
Male,1447873
Both,713493
Both,2270925
Both,2984418
Female,674269
Female,2434916
Female,3109185
Male,707343
Male,2288382
Male,2995725
Both,1381612
Both,4723298
Both,6104910
Female,110866
Female,411210
Female,522076
Male,117520
Male,411053
Male,528573
Both,228386
Both,822263
Both,1050649
Female,230769
Female,728852
Female,959621
Male,243338
Male,711612
Male,954950
Both,474107
Both,1440464
Both,1914571
Female,333198
Female,1147890
Female,1481088
Male,347844
Male,1143450
Male,1491294
Both,681042
Both,2291340
Both,2972382
Female,126952
Female,553483
Female,680435
Male,133012
Male,534677
Male,667689
Both,259964
Both,1088160
Both,1348124
Female,960357
Female,3583114
Female,4543471
Male,1001164
Male,3333868
Male,4335032
Both,1961521
Both,6916982
Both,8878503
Female,238947
Female,817317
Female,1056264
Male,249529
Male,786661
Male,1036190
Both,488476
Both,1603978
Both,2092454
Female,2007589
Female,8063729
Female,10071318
Male,2100910
Male,7400091
Male,9501001
Both,4108499
Both,15463820
Both,19572319
Female,1123755
Female,4144483
Female,5268238
Male,1172859
Male,3823779
Male,4996638
Both,2296614
Both,7968262
Both,10264876
Female,85612
Female,283550
Female,369162
Male,90132
Male,297423
Male,387555
Both,175744
Both,580973
Both,756717
Female,1272323
Female,4671309
Female,5943632
Male,1332687
Male,4379078
Male,5711765
Both,2605010
Both,9050387
Both,11655397
Female,467177
Female,1516165
Female,1983342
Male,489787
Male,1459741
Male,1949528
Both,956964
Both,2975906
Both,3932870
Female,422917
Female,1659548
Female,2082465
Male,445026
Male,1602312
Male,2047338
Both,867943
Both,3261860
Both,4129803
Female,1299738
Female,5226679
Female,6526417
Male,1362653
Male,4902460
Male,6265113
Both,2662391
Both,10129139
Both,12791530
Female,317469
Female,1422660
Female,1740129
Male,330877
Male,1247441
Male,1578318
Both,648346
Both,2670101
Both,3318447
Female,101234
Female,442205
Female,543439
Male,106110
Male,407682
Male,513792
Both,207344
Both,849887
Both,1057231
Female,540753
Female,2044581
Female,2585334
Male,561749
Male,1873723
Male,2435472
Both,1102502
Both,3918304
Both,5020806
Female,104387
Female,327305
Female,431692
Male,109721
Male,329225
Male,438946
Both,214108
Both,656530
Both,870638
Female,735714
Female,2700364
Female,3436078
Male,769206
Male,2504072
Male,3273278
Both,1504920
Both,5204436
Both,6709356
Female,3596550
Female,10630297
Female,14226847
Male,3741895
Male,10292114
Male,14034009
Both,7338445
Both,20922411
Both,28260856
Female,35902858
Female,128908018
Female,164810876
Male,37526534
Male,122360385
Male,159886919
Both,73429392
Both,251268403
Both,324697795
Female,449047
Female,1088933
Female,1537980
Male,474536
Male,1084332
Male,1558868
Both,923583
Both,2173265
Both,3096848
Female,56555
Female,259661
Female,316216
Male,60099
Male,247998
Male,308097
Both,116654
Both,507659
Both,624313
Female,912501
Female,3382789
Female,4295290
Male,953198
Male,3205975
Male,4159173
Both,1865699
Both,6588764
Both,8454463
Female,802522
Female,2898284
Female,3700806
Male,841024
Male,2862277
Male,3703301
Both,1643546
Both,5760561
Both,7404107
Female,61308
Female,302731
Female,364039
Male,62622
Male,266022
Male,328644
Both,123930
Both,568753
Both,692683
Female,180502
Female,738225
Female,918727
Male,188936
Male,709642
Male,898578
Both,369438
Both,1447867
Both,1817305
Female,625352
Female,2285470
Female,2910822
Male,655551
Male,2224343
Male,2879894
Both,1280903
Both,4509813
Both,5790716
Female,66068
Female,218754
Female,284822
Male,70303
Male,225899
Male,296202
Both,136371
Both,444653
Both,581024
